Zonal office,Company,Incident date,Contaminant,Estimated quantity,Quantity recovered,Type of facility,Cause,FID,Site location name,Latitude,Longitude,LGA,Spill area habitat,States affected,TYPE_1
ph,SPDC,8/25/2019,cr,243,,pl,sab,91,20'' KOLO CREEK- RUMUEKPE PIPELINE@ODAU KM 9 IN RIVERS STATE.,4.9283,6.43709,Ogbia,sw,RI,State
ph,SPDC,8/10/2019,cr,313,,pl,sab,92,"12” Imo River – Ogale Trunkline, Owaza.",4.9809389,7.1739694,Etche,la,AB,State
ph,SPDC,8/7/2019,cr,115,,pl,sab,93,14'' Okordia-Rumuekpe pipeline at Akinima,5.1310694,6.4724389,Yenagoa,"sw,ss",RI,State
ph,SPDC,8/6/2019,cr,405,,pl,sab,94,24'' NKPOKU-BOMU PIPELINE @ EGBALOR,4.782776,7.192037,Eleme,la,RI,State
ph,SPDC,8/3/2019,cr,279,,pl,sab,95,20” Rumuekpe – Nkpoku Trunkline Right of way at Ibaa,4.95375,6.83276,Emuoha,"la,ss",RI,State
wa,NDWEST,8/1/2019,cr,200,28,pl,sab,96,UTOROGU W/16T @ OROWHE/IWHREKEN,5.44389,5.8856367,Ughelli-South,sw,DE,State
ph,NAOC,7/28/2019,cr,557.33,187.68,pl,sab,97,"18'' EBOCHA-OGODA PIPELINE UBETA COMMUNITY AWELGA, RIVERS STATE.",5.183,6.5935556,Ogba/Egbema/Ndoni,"la,ss",RI,State
by,SPDC,7/18/2019,cr,160,,pl,sab,98,10'' DIEBU-NUN RIVER DELIVERY LINE AT ONYEOMA AND EKEOWE,4.7419722,6.1027778,Southern-Ijaw,sw,BY,State
wa,NDWEST,7/5/2019,cr,120,,other:Trunk line,sab,99,10'' UTOROGU -UPS TRUNK LINE @ UGHEVWUGHE COMMUNITY.,5.492,5.9166389,Ughelli-South,la,DE,State
ph,SPDC,7/1/2019,cr,108,53,pl,sab,100,"14"" OKORDIA RUMU-EKPE @ULA IKATA",5.051586,6.582709,Ahoada-West,la,RI,State
ph,SPDC,7/1/2019,cr,108,53,pl,sab,101,"14"" OKORDIA RUMUEKPE TRUNKLINE ROW@ ULA IKATA",5.051558,6.582733,Ahoada-West,la,RI,State
ph,SPDC,7/1/2019,cr,108,53,pl,sab,102,"14"" OKORDIA RUMUEKPE @ULA IKATA",5.0515339,6.5817589,Ahoada-West,la,RI,State
wa,NDWEST,6/27/2019,cr,350,52,other:trunk line,sab,103,"SYSYTEM 2A 16"" PL @ MOSOGAR, ETHIOPE WEST L.G.A., DELTA STATE.",5.4871833,5.9126,Ughelli-South,"la,sw",DE,State
ph,SPDC,6/25/2019,cr,227,,pl,sab,104,"14"" OKORDIA-RUMUEKPE OSHIE",5.10328,6.51186,Ahoada-West,la,RI,State
ph,Eroton E&P,6/21/2019,cr,4004.26,2988,wh,sab,105,ALAKIRI WELL 15 AMABAKIRI,4.6467222,7.0816667,Okrika,iw,RI,State
wa,NDWEST,6/17/2019,cr,220,,,sab,106,"10"" UTOROGU - UPS TRUNKLINE AT OTOR - EDO.",5.4611111,6.3977778,Isoko-North,"sw,iw,la",DE,State
ph,SPDC,5/19/2019,cr,169,,pl,sab,107,20`` KOLOCREEK-RUMUEKPE PIPELINE AT ODAU (KM 9),4.92833,6.4371,Ogbia,sw,RI,State
ph,SPDC,5/15/2019,cr,102,,pl,sab,108,"20"" kolocreek-Rumuekpe pipeline at Okoma.",4.97384,6.66038,Ahoada-East,la,RI,State
wa,Heritage,5/14/2019,cr,150,60,pl,eqf,109,28'' TFP AT YEYE COMMUNITY.,5.4297917,5.3854667,Warri-South-West,sw,DE,State
wa,Heritage,5/14/2019,cr,100,503,pl,eqf,110,28'' TFP AT OTEGHELE COMMUNITY.,5.5692917,5.6315583,Warri-South,sw,DE,State
ph,Aiteo E&P,5/5/2019,cr,336.8,194,pl,sab,111,30” NCTL at Boro,4.5562778,6.7926667,Akuku-Toru,sw,RI,State
ph,Aiteo E&P,4/22/2019,cr,178,,pl,sab,112,30” NCTL at Elem Kalabari,4.5735278,6.9394444,Degema,sw,RI,State
ph,Aiteo E&P,4/22/2019,cr,211,,pl,sab,113,"30” NCTL PL near Awoba Manifold, Bille ,Oruama",4.5627778,6.8496389,Degema,sw,RI,State
ph,Aiteo E&P,4/21/2019,cr,115.73,,pl,sab,114,"30” NCTL at Boro, AKULGA Rivers State",4.5534722,6.7854444,Akuku-Toru,sw,RI,State
wa,PPMC,4/9/2019,cr,200,,pl,eqf,115,NNPC/NPSC OLD 24'' RISER AT SAGHARA UGBORODO COMMUNITY.,5.6145,5.2106667,Warri-South-West,"sw,la,iw",DE,State
ph,NAOC,4/5/2019,cr,120.8,,pl,sab,116,"24"" Ogoda/Brass Pipeline @ Oyakama",5.0245,6.5373056,Ahoada-West,la,RI,State
wa,Heritage,4/2/2019,cr,410,300,pl,cor,117,28'' TFP @ EWEREGBENE,5.5435972,5.5141944,Warri-South-West,sw,DE,State
wa,Heritage,3/21/2019,cr,1315,1300,pl,ome,118,"16"" Uzere Eriemu Delivery line at Oghara-Iyede.",5.4897222,6.095,Isoko-North,la,DE,State
wa,Heritage,3/18/2019,cr,400,390,other:delivery line,sab,119,"8'' ORONI - EVWRENI, DELIVERY LINE @ OKPOLO (ENHWE).",5.3636389,6.0908611,Isoko-South,la,DE,State
by,SPDC,3/16/2019,cr,136,26,pl,sab,120,"16"" TUNU-BRASS CREEK P/L @ AGBIDIAMA.",5.5306667,6.0264444,Ughelli-North,sw,BY,State
